station,ad_ordinary,ad_ordinary_perc,cd_ordinary,cd_ordinary_perc,ad_focused,ad_focused_perc,cd_focused,cd_focused_perc,total_observations,cd_all,CD-bias corrected,Processing group,Confirmed
STN287,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3992,0,,,
STN288,0,0.00%,0,0.00%,0,0.00%,0,0.00%,374,0,,,
STN290,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12566,0,,,
STN291,0,0.00%,0,0.00%,0,0.00%,0,0.00%,984,0,,,
STN293,6336,100.00%,0,0.00%,0,0.00%,0,0.00%,6336,0,,,
STN296,0,0.00%,0,0.00%,0,0.00%,0,0.00%,360,0,,,
STN298,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2155,0,,,
STN300,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19105,0,,,
STN301,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4098,0,,,
STN302,0,0.00%,0,0.00%,0,0.00%,0,0.00%,414,0,,,
STN304,0,0.00%,0,0.00%,0,0.00%,0,0.00%,503,0,,,
STN305,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9216,0,,,
STN306,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6093,0,,,
STN307,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3841,0,,,
STN308,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10008,0,,,
STN309,0,0.00%,0,0.00%,0,0.00%,0,0.00%,536,0,,,
STN311,1253,28.01%,0,0.00%,1,0.02%,0,0.00%,4474,0,,,
STN314,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3665,0,,,
STN315,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5781,0,,,
STN316,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9862,0,,,
STN317,2326,100.00%,0,0.00%,0,0.00%,0,0.00%,2326,0,,,
STN318,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12945,0,,,
STN319,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2403,0,,,
STN320,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3323,0,,,
STN321,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3140,0,,,
STN322,183,2.57%,0,0.00%,0,0.00%,0,0.00%,7120,0,,,
STN324,0,0.00%,0,0.00%,0,0.00%,0,0.00%,152,0,,,
STN325,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4142,0,,,
STN326,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7792,0,,,
STN327,0,0.00%,0,0.00%,0,0.00%,0,0.00%,359,0,,,
STN331,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11295,0,,,
STN332,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6677,0,,,
STN336,673,18.14%,0,0.00%,0,0.00%,0,0.00%,3711,0,,,
STN338,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3118,0,,,
STN340,8418,99.69%,0,0.00%,0,0.00%,0,0.00%,8444,0,,,
STN341,8064,99.36%,0,0.00%,0,0.00%,0,0.00%,8116,0,,,
STN343,4786,100.00%,0,0.00%,0,0.00%,0,0.00%,4786,0,,,
STN345,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1523,0,,,
STN346,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9451,0,,,
STN347,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4570,0,,,
STN348,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3230,0,,,
STN349,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1880,0,,,
STN350,0,0.00%,0,0.00%,0,0.00%,0,0.00%,554,0,,,
STN351,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1096,0,,,
STN352,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8475,0,,,
STN353,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8378,0,,,
STN376,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7250,0,,,
STN394,907,100.00%,0,0.00%,0,0.00%,0,0.00%,907,0,,,
STN397,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,0,,,
STN398,0,0.00%,0,0.00%,0,0.00%,0,0.00%,29,0,,,
STN399,0,0.00%,0,0.00%,0,0.00%,0,0.00%,761,0,,,
STN400,752,99.87%,0,0.00%,0,0.00%,0,0.00%,753,0,,,
STN401,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3135,0,,,
STN404,0,0.00%,0,0.00%,0,0.00%,0,0.00%,362,0,,,
STN405,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7707,0,,,
STN406,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7597,0,,,
STN407,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4946,0,,,
STN409,6894,100.00%,0,0.00%,0,0.00%,0,0.00%,6894,0,,,
STN410,4454,98.30%,0,0.00%,0,0.00%,0,0.00%,4531,0,,,
STN411,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7462,0,,,
STN412,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3639,0,,,
STN419,1063,100.00%,0,0.00%,0,0.00%,0,0.00%,1063,0,,,
STN426,177,45.04%,0,0.00%,0,0.00%,0,0.00%,393,0,,,
STN427,0,0.00%,0,0.00%,0,0.00%,0,0.00%,51,0,,,
STN435,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7681,0,,,
STN436,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8697,0,,,
STN442,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1236,0,,,
STN446,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8238,0,,,
STN447,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2796,0,,,
STN449,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6473,0,,,
STN452,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1634,0,,,
STN453,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1409,0,,,
STN454,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1907,0,,,
STN455,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4816,0,,,
